Solve Method,Duration(ms)
Breadth solved,40780
A* solved,55605
A* solved g/2,55361
Depth solved,13673
A* solved g/4,55396
A* solved g(n)=0,55407
A* solved g/2,48818
A* solved g/4,43331
Depth solved,44303
A* solved,43256
Breadth solved,24864
A* solved g(n)=0,41932
Depth solved,26330
Breadth solved,25443
A* solved g/2,39930
A* solved g/4,40026
A* solved g(n)=0,40546
A* solved,49485
A* solved,43364
A* solved g/2,21618
A* solved g(n)=0,18024
Breadth solved,21750
Depth solved,20583
A* solved g/4,21558
Breadth solved,29279
A* solved,43560
A* solved g/4,36876
A* solved g(n)=0,36889
A* solved g/2,36922
Depth solved,10985
A* solved g/4,20077
Breadth solved,15805
A* solved,28278
A* solved g(n)=0,13685
A* solved g/2,14179
Depth solved,13193
A* solved g/2,43311
A* solved g(n)=0,37046
Depth solved,24616
Breadth solved,24490
A* solved g/4,37045
A* solved,45497
A* solved,50276
A* solved g/2,37404
A* solved g/4,36806
Depth solved,22718
A* solved g(n)=0,40019
Breadth solved,24457
A* solved g/2,32648
Breadth solved,21642
A* solved,39965
A* solved g(n)=0,27392
A* solved g/4,26924
Depth solved,19159
A* solved g/4,26802
Depth solved,43485
A* solved,27697
A* solved g(n)=0,21364
A* solved g/2,21221
Breadth solved,14669
A* solved,41628
A* solved g(n)=0,30501
A* solved g/2,30156
Breadth solved,18868
Depth solved,20158
A* solved g/4,30744
A* solved g/4,30051
Breadth solved,22976
Depth solved,23700
A* solved,43426
A* solved g/2,24810
A* solved g(n)=0,24774
A* solved g(n)=0,50835
A* solved g/4,45661
Breadth solved,19954
Depth solved,10657
A* solved,37484
A* solved g/2,45735
A* solved,53287
Depth solved,18576
A* solved g/4,37284
A* solved g/2,37301
Breadth solved,26030
A* solved g(n)=0,37094
A* solved,51958
A* solved g/2,45382
A* solved g/4,45405
Depth solved,39818
Breadth solved,25102
A* solved g(n)=0,45052
A* solved g/2,12280
Depth solved,8430
Breadth solved,6884
A* solved g/4,6923
A* solved g(n)=0,6939
A* solved,12438
A* solved g/2,19949
A* solved g(n)=0,14742
A* solved g/4,14727
A* solved,27732
Depth solved,43342
Breadth solved,16115
Breadth solved,27966
A* solved g/2,45969
A* solved g(n)=0,45847
Depth solved,31600
A* solved g/4,45994
A* solved,41653
A* solved g/2,36262
Breadth solved,22931
Depth solved,16463
A* solved g/4,31076
A* solved g(n)=0,31002
A* solved,44470
A* solved g(n)=0,36470
Breadth solved,22634
Depth solved,38074
A* solved,42394
A* solved g/4,31082
A* solved g/2,31150
Breadth solved,17753
Depth solved,8795
A* solved g(n)=0,13717
A* solved,21037
A* solved g/4,13792
A* solved g/2,13899
A* solved g/4,25924
Depth solved,32930
Breadth solved,20894
A* solved g(n)=0,20524
A* solved,37725
A* solved g/2,20419
A* solved g/4,18215
A* solved g(n)=0,12764
Depth solved,13773
A* solved,35045
Breadth solved,18418
A* solved g/2,12697
A* solved g/2,31332
A* solved,48242
A* solved g/4,25279
Breadth solved,25408
A* solved g(n)=0,25284
Depth solved,32145
Breadth solved,31866
Depth solved,43604
A* solved g(n)=0,28172
A* solved,49819
A* solved g/4,27964
A* solved g/2,28009
Depth solved,19382
Breadth solved,25954
A* solved g/4,50315
A* solved g(n)=0,50363
A* solved,48399
A* solved g/2,50330
A* solved g/2,41046
Depth solved,14511
Breadth solved,26247
A* solved g/4,35817
A* solved g(n)=0,35799
A* solved,51638
A* solved g/4,32974
A* solved,50055
Breadth solved,25593
Depth solved,31761
A* solved g/2,27659
A* solved g(n)=0,27573
A* solved g(n)=0,24933
A* solved g/2,19588
A* solved g/4,19682
Breadth solved,15539
A* solved,28072
Depth solved,10502
Breadth solved,26257
A* solved g/4,40592
A* solved g/2,40433
Depth solved,41028
A* solved,41433
A* solved g(n)=0,40612
A* solved g/2,22484
A* solved g/4,17129
A* solved g(n)=0,17158
A* solved,28367
Breadth solved,14647
Depth solved,44593
A* solved g/4,26906
A* solved g/2,21066
A* solved,49665
Depth solved,26201
A* solved g(n)=0,20954
Breadth solved,26762
A* solved g/4,17000
A* solved g/2,11565
Depth solved,25298
Breadth solved,20766
A* solved g(n)=0,10926
A* solved,38093
Depth solved,26503
A* solved g(n)=0,6852
A* solved g/2,18612
A* solved,24096
Breadth solved,14662
A* solved g/4,18409
A* solved g/2,40650
A* solved,43085
A* solved g/4,34880
Breadth solved,22789
A* solved g(n)=0,36920
Depth solved,32768
A* solved g/4,22031
A* solved g/2,16830
A* solved,33971
Depth solved,19645
A* solved g(n)=0,16824
Breadth solved,19032
A* solved,40394
A* solved g(n)=0,15659
Depth solved,17996
A* solved g/2,15668
A* solved g/4,15627
Breadth solved,20273
A* solved g/4,19470
A* solved g(n)=0,14407
Breadth solved,18624
A* solved,34729
A* solved g/2,14435
Depth solved,45696
A* solved g/4,45904
A* solved g(n)=0,40040
Depth solved,8355
Breadth solved,15773
A* solved,29291
A* solved g/2,38090
A* solved g/4,16463
A* solved g/2,10383
Breadth solved,19577
A* solved,36326
Depth solved,50935
A* solved g(n)=0,11161
A* solved g/2,34517
A* solved,44847
A* solved g/4,29140
A* solved g(n)=0,29313
Breadth solved,23059
Depth solved,42300
Depth solved,45296
A* solved g/2,13529
A* solved,39381
Breadth solved,20613
A* solved g/4,13540
A* solved g(n)=0,13555
A* solved,39975
A* solved g/2,19408
A* solved g/4,19406
Depth solved,48541
A* solved g(n)=0,18841
Breadth solved,17611
A* solved,31434
Depth solved,31298
Breadth solved,14013
A* solved g(n)=0,20764
A* solved g/4,20795
A* solved g/2,20855
A* solved g/2,30751
Breadth solved,22001
A* solved,40129
A* solved g/4,25441
Depth solved,13929
A* solved g(n)=0,25413
A* solved g/2,30923
A* solved g/4,25664
A* solved,50659
Breadth solved,26585
Depth solved,40105
A* solved g(n)=0,25475
A* solved g/2,28436
Depth solved,24071
A* solved g(n)=0,23082
Breadth solved,21695
A* solved g/4,22754
A* solved,41151
Depth solved,25496
A* solved g/4,19305
A* solved,40529
Breadth solved,23762
A* solved g(n)=0,19442
A* solved g/2,19412
A* solved g(n)=0,53070
A* solved,48167
A* solved g/2,48085
Breadth solved,24707
Depth solved,31506
A* solved g/4,48123
Depth solved,18743
A* solved g(n)=0,29234
A* solved g/2,29214
A* solved g/4,29143
A* solved,31671
Breadth solved,16539
A* solved,60108
A* solved g/2,21613
A* solved g(n)=0,21488
A* solved g/4,21637
Depth solved,25999
Breadth solved,27982
A* solved g/2,23781
Breadth solved,19764
A* solved,38344
Depth solved,16703
A* solved g/4,18583
A* solved g(n)=0,18632
A* solved g/4,48093
A* solved,53093
Breadth solved,27168
A* solved g/2,42929
Depth solved,28947
A* solved g(n)=0,42718
A* solved,27066
A* solved g/4,12964
A* solved g/2,12915
Breadth solved,12812
A* solved g(n)=0,12963
Depth solved,26878
A* solved,46862
Depth solved,27735
A* solved g/4,35008
Breadth solved,22620
A* solved g(n)=0,34127
A* solved g/2,35065
A* solved g/4,29065
A* solved g/2,23891
Breadth solved,16860
A* solved,32769
A* solved g(n)=0,23923
Depth solved,34316
Breadth solved,24162
A* solved g/4,11222
A* solved g/2,11265
Depth solved,8839
A* solved g(n)=0,11257
A* solved,35401
Breadth solved,28272
A* solved g(n)=0,46699
A* solved g/4,46683
Depth solved,40504
A* solved g/2,46708
A* solved,44739
A* solved g/2,48407
A* solved g(n)=0,42962
Breadth solved,22394
Depth solved,33080
A* solved g/4,43238
A* solved,43931
A* solved g/4,27482
Breadth solved,21547
Depth solved,36696
A* solved g(n)=0,21880
A* solved g/2,22318
A* solved,42202
A* solved g/4,20161
Depth solved,40092
A* solved,35033
A* solved g/2,14901
Breadth solved,20506
A* solved g(n)=0,14980
A* solved g/2,50559
A* solved,48765
Depth solved,14986
A* solved g/4,45367
A* solved g(n)=0,45415
Breadth solved,25049
A* solved g/2,15793
Breadth solved,7910
A* solved,14921
A* solved g(n)=0,10626
Depth solved,8352
A* solved g/4,10629
Depth solved,38730
A* solved g/4,26767
Breadth solved,21971
A* solved,41023
A* solved g(n)=0,26748
A* solved g/2,26757
Depth solved,18274
A* solved g/2,12879
Breadth solved,11226
A* solved g/4,12937
A* solved,20224
A* solved g(n)=0,12912
A* solved,31862
Depth solved,23435
A* solved g(n)=0,14729
Breadth solved,15509
A* solved g/4,14685
A* solved g/2,14776
Breadth solved,28732
A* solved g(n)=0,43044
Depth solved,41348
A* solved g/4,43030
A* solved g/2,43025
A* solved,46245
A* solved,45967
A* solved g/4,38935
A* solved g/2,38871
A* solved g(n)=0,38947
Depth solved,32969
Breadth solved,20885
Breadth solved,22345
A* solved g(n)=0,19645
A* solved g/4,19654
A* solved,30600
Depth solved,28831
A* solved g/2,19623
A* solved g/2,48339
A* solved g/4,43197
A* solved,45229
A* solved g(n)=0,43272
Depth solved,21405
Breadth solved,23621
Depth solved,29958
A* solved,54580
Breadth solved,27602
A* solved g/2,30003
A* solved g/4,30021
A* solved g(n)=0,30016
A* solved g(n)=0,25402
A* solved g/2,20066
Depth solved,44169
Breadth solved,18428
A* solved g/4,20146
A* solved,31029
A* solved g/4,17524
Breadth solved,10079
A* solved g(n)=0,12313
Depth solved,17606
A* solved g/2,12323
A* solved,18229
Depth solved,26565
A* solved g/2,31707
A* solved g(n)=0,31720
A* solved,28459
Breadth solved,15474
A* solved g/4,31697
A* solved g/2,30107
A* solved g/4,24908
A* solved,47575
Breadth solved,25601
A* solved g(n)=0,24950
Depth solved,15644
Breadth solved,25091
A* solved,37157
Depth solved,42849
A* solved g/4,34527
A* solved g(n)=0,34502
A* solved g/2,34495
A* solved,51362
A* solved g(n)=0,29308
Breadth solved,23872
A* solved g/4,29360
Depth solved,24698
A* solved g/2,29318
A* solved,55166
A* solved g/2,45628
A* solved g(n)=0,45516
A* solved g/4,45628
Breadth solved,25486
Depth solved,19489
Depth solved,35919
A* solved g/4,16304
A* solved g(n)=0,16296
A* solved g/2,16325
A* solved,37339
Breadth solved,20321
A* solved g(n)=0,33534
Depth solved,25232
A* solved g/4,28350
A* solved g/2,28332
Breadth solved,26043
A* solved,51124
A* solved g/4,22702
A* solved g(n)=0,17556
A* solved g/2,17524
A* solved,48951
Breadth solved,27133
Depth solved,25086
A* solved g(n)=0,32945
Depth solved,19486
A* solved,52557
Breadth solved,27126
A* solved g/2,27762
A* solved g/4,27748
A* solved g/4,46226
A* solved g(n)=0,41049
Depth solved,28448
Breadth solved,23666
A* solved,45052
A* solved g/2,41042
Depth solved,47382
A* solved g/4,34574
A* solved,44312
A* solved g(n)=0,34560
Breadth solved,22938
A* solved g/2,34486
A* solved g(n)=0,42944
Depth solved,37040
A* solved g/4,37649
A* solved g/2,37774
Breadth solved,24014
A* solved,45104
A* solved g/2,38078
A* solved,44572
A* solved g(n)=0,32888
Depth solved,19657
A* solved g/4,32870
Breadth solved,22920
Breadth solved,27983
A* solved g/2,22063
A* solved g/4,22111
A* solved g(n)=0,22110
Depth solved,22475
A* solved,42036
A* solved g/4,48461
A* solved g(n)=0,43275
Depth solved,46254
A* solved g/2,43258
Breadth solved,25316
A* solved,49655
Depth solved,45835
A* solved g/4,16290
A* solved g/2,16279
Breadth solved,24824
A* solved g(n)=0,16307
A* solved,46113
A* solved g/4,52666
Breadth solved,22609
A* solved,40053
A* solved g/2,47524
Depth solved,11986
A* solved g(n)=0,47520
A* solved g/4,43772
A* solved g/2,38485
Depth solved,21143
Breadth solved,27534
A* solved,52923
A* solved g(n)=0,38568
A* solved g(n)=0,32720
Depth solved,38365
A* solved,50923
A* solved g/4,27531
Breadth solved,26362
A* solved g/2,27534
A* solved,57917
A* solved g/2,49925
Breadth solved,26856
A* solved g/4,50062
Depth solved,26890
A* solved g(n)=0,49898
Depth solved,55776
A* solved g/4,26739
A* solved g/2,26730
A* solved g(n)=0,26751
Breadth solved,18195
A* solved,31713
A* solved g/2,34564
A* solved,33448
Breadth solved,18048
A* solved g(n)=0,29003
Depth solved,29023
A* solved g/4,29382
A* solved,34647
Breadth solved,16657
Depth solved,9713
A* solved g/2,9516
A* solved g/4,9529
A* solved g(n)=0,9536
Breadth solved,30734
A* solved g(n)=0,33435
Depth solved,30435
A* solved g/2,33428
A* solved,48049
A* solved g/4,33455
